pointId	source	point	listId	capture	playerAction	needsTwoMachines	needsScreenshot	needsDataBlock	mergeRule
enemy.sentry-source-agent	ForgeEnemy\evidence\e10-damage-window.json $.conclusions.q3-sentry-source.unverified	炮塔是否把部署者写成 sourceAgent；谁记录伤害（需炮塔/装备伤害点）	enemy-damage	trace:damage/Dam_EnemyDamageBase.BulletDamage;trace:damage/Dam_EnemyDamageBase.ProcessReceivedDamage;state:enemies.health	放哨戒炮让它打死敌人	no	no	no	
enemy.explosion-no-source	ForgeEnemy\VALIDATION.md#316	爆炸伤害包 pExplosionDamageData 没有 source 字段，无法指定攻击者；真实接收器与无攻击者时的表现	enemy-damage	trace:damage/Dam_EnemyDamageBase.ReceiveExplosionDamage;trace:damage/Dam_EnemyDamageBase.ProcessReceivedDamage	用爆炸物（绊雷/手雷）打敌人	no	no	no	
enemy.host-gate-rejection	ForgeEnemy\evidence\e10-damage-window.json $.conclusions.q4-forge-external-damage.unverified	非主机调用是否本地生效、发包是否有主机门槛、被拒绝与伤害被修正为零如何区分	enemy-damage	trace:damage/Dam_EnemyDamageBase.ProcessReceivedDamage;net:SNetwork.SNet_Packet;state:enemies.health	客机侧对敌人施加外部伤害	yes	no	no	
enemy.spawn-phase-order	ForgeEnemy\VALIDATION.md#206 item 1	EnemyAllocator.SpawnEnemy / EnemyAgent.Setup / EnemySync.OnSpawn / EnemyAllocator.OnEnemySpawned / EnemySync.OnDespawn / EnemyAgent.OnDeSpawn 的原生阶段顺序	enemy-lifecycle	trace:enemy/Enemies.EnemyAllocator.SpawnEnemy;trace:enemy/Enemies.EnemyAllocator.OnEnemySpawned;trace:enemy/Enemies.EnemyAgent.Setup;trace:enemy/Enemies.EnemyAgent.OnDeSpawn;trace:enemy/Enemies.EnemySync.OnSpawn;trace:enemy/Enemies.EnemySync.OnDespawn	刷一波怪	no	no	no	
enemy.pool-reuse-late-callback	ForgeEnemy\VALIDATION.md#207 item 2	对象池复用：GlobalID 与指针是否复用、复用前是否总有 OnDespawn、销毁后是否仍有 ProcessReceivedDamage/DestroyLimb/OnDead 进入	enemy-lifecycle	trace:damage/Dam_EnemyDamageBase.ProcessReceivedDamage;trace:enemy/Enemies.EnemyAgent.OnDead;state:enemies	反复刷怪清怪	no	no	no	
enemy.navmesh-agent-profile	ForgeEnemy\VALIDATION.md#208 item 3; ForgeEnemy\evidence\e2-spawn-space-20403457\spawn-requirements.json $.requirements[*].unverified[RuntimeNavMeshAgentProfile]	实例上的 NavMeshAgent agentTypeID/radius/height/areaMask/enabled 与 transform 缩放，比对 groundNavigation 与 navMeshAgentTypes	enemy-spawn-space	state:enemies.*.navMeshAgent.*; probe	生成 Striker(13)/MegaMother(55) 等地面敌人	no	no	yes	
enemy.size-multiplier-effect	ForgeEnemy\VALIDATION.md#209 item 4; spawn-requirements.json $.requirements[*].unverified[SizeMultiplierEffect]	EnemyAgent.SizeMultiplier 与模型缩放是否落在 modelSizeRanges 内，NavMeshAgent 半径与碰撞体是否随之缩放	enemy-spawn-space	state:enemies.*.sizeMultiplier+navMeshAgent.radius	同一敌人块多次出生	no	no	yes	
enemy.collision-radius-semantics	ForgeEnemy\VALIDATION.md#210 item 5	谁在何时读取 EnemyBalancingDataBlock.EnemyCollisionRadius 与 CanBePushed（调用栈与阶段）：敌人间分离、推挤还是出生净空	enemy-spawn-space	trace:enemy/Enemies.EnemyAgent.AllocateCost;state:enemies.sizeMultiplier	密集生成敌人并推挤	no	no	yes	
enemy.air-graph	ForgeEnemy\VALIDATION.md#211 item 6	飞行敌人（42/43/45/58）出生时的 GetCurrentAirGraph() 与 FlyingAirGraphAgent.IsPositionOnGraph(出生点)；有/无空中图的房间	enemy-spawn-space	trace:enemy/Enemies.EnemyAgent.GetCurrentAirGraph; state:enemies.*.airGraph	在有空中图与没有空中图的房间各生成飞行敌人	no	no	yes	
enemy.base-prefab-resolution	ForgeEnemy\VALIDATION.md#212 item 7; spawn-requirements.json $.requirements[*].unverified[BasePrefabResolution]	EnemyPrefabManager.BuildEnemyPrefab 返回后的层级与组件，比对 Enemies_S1 分片按名称解析到的对象	enemy-spawn-space	trace:enemy/Enemies.EnemyAgent.OnPrefabManagerBuild; state:enemies.*.prefabHierarchy	生成敌人后导出 prefab 层级	no	no	yes	
enemy.squidboss-arena-conflict	ForgeEnemy\VALIDATION.md#213 item 8	SquidBoss 冲突：44/61 移动中的 Locomotion.CurrentStateEnum、空中图与 NavMeshAgent 状态	enemy-spawn-space	trace:enemy/Enemies.EnemyAgent.GetArenaDimension;state:enemies.position	在 44/61 出现的关卡观察移动	no	no	no	
enemy.arena-dimension-trigger	ForgeEnemy\VALIDATION.md#214 item 9; spawn-requirements.json $.requirements[*].unverified[ArenaDimensionRequirement]	Pouncer(46) 的 ArenaDimensions=[14] 实际触发什么，记录其读取点	enemy-spawn-space	trace:enemy/Enemies.EnemyAgent.GetArenaDimension;trace:enemy/Enemies.EnemyAgent.GetLocalArenaDimension	生成 46 并记录读取	no	no	yes	
enemy.spawn-clearance	ForgeEnemy\VALIDATION.md#215 item 10; spawn-requirements.json $.requirements[*].unverified[SpawnClearance] / [CollisionRadiusSemantics]	窄通道与通风口类空间生成地面与大型敌人：卡住、瞬移或出生失败	enemy-spawn-space	trace:enemy/Enemies.EnemyAllocator.SpawnEnemy;state:enemies.position	在窄空间与通风口生成敌人	no	yes	yes	
enemy.datablock-override	ForgeEnemy\VALIDATION.md#216 item 11; spawn-requirements.json $.requirements[*].unverified[DataBlockOverrides]	自定义 rundown 下实例的 EnemyData/EnemyMovementData/EnemyBalancingData 与离线证据是否一致	enemy-spawn-space	state:datablocks	在自制 rundown 下生成敌人	no	no	yes	
enemy.runtime-requirement-table-build	ForgeEnemy\VALIDATION.md#217 item 12	装 GTFO-API 0.5.0 与自制敌人（MTFO 注入新 EnemyDataBlock）后 GameDataAPI.OnGameDataInitialized 与 AssetShardManager.OnEnemyAssetsLoaded 的先后、与 EnemyAssetsIsLoaded 的关系、EnemySpawnRequirementSource 上报	enemy-spawn-space	state:datablocks	用 GLTF-API + 自制敌人块启动	no	no	yes	
enemy.runtime-navmesh-area-table	ForgeEnemy\VALIDATION.md#218 item 13	NavMesh.GetAreaFromName("Walkable"/"Not Walkable"/"Jump") 返回值与 walkableAreaMask 位是否一致；自定义区域构建时 navMeshAreas 是否缺行	enemy-spawn-space	state:navMeshAreas.*; probe	正常进关读区域表	no	no	no	
enemy.dll-mod-singleton	ForgeEnemy\evidence\enemy-*-hooks.json 多处 unverified(DLLMod detection)	敌人相关模块常被判定“无运行时证据”；Hook 是否真的装上、是否与 DLLMod 检测冲突	none	manual:装模组后读 session 通道的已装补丁列表与 BepInEx 日志	开一把带模组的游戏并读会话记录	no	no	no	
enemy.behavior-windup-active	ForgeEnemy\VALIDATION.md#529; ForgeEnemy\evidence\enemy-behavior-hooks.json $.unverified	attack_windup / attack_active 有原生成员，attack_recovery 没有；ES_*Attack 的 OnAttackWindUp/OnAttackPerform 是否真的按此顺序跑	enemy-behaviour	trace:enemy/Enemies.ES_StrikerAttack.OnAttackWindUp;trace:enemy/Enemies.ES_StrikerAttack.OnAttackPerform;trace:enemy/Enemies.ES_ShooterAttack.OnAttackWindUp	被敌人近战/远程攻击若干次	no	no	no	与 enemy.windup-artifact 合并（同一 ES_* 事件族）
enemy.ability-return-value	ForgeEnemy\evidence\enemy-behavior-ledger.json $.notVerified	UseAbility 的返回值在运行时的含义、MakeNoise 在 noiseMaker 未设时的行为、以及客机如何看待两者	enemy-behaviour	trace:enemy/Enemies.ES_StrikerAttack.OnAttackPerform;net:SNetwork.SNet_Packet	触发敌人能力	yes	no	no	
enemy.noise-data-fields	ForgeEnemy\evidence\enemy-behavior-ledger.json $.notVerified	NM_NoiseData 的 yScale / includeToNeightbourAreas / raycastFirstNode 取值来源；2 m 采样距离与游戏自身节点范围	enemy-behaviour	trace:enemy/Enemies.EnemyAgent.ListenerDetectNoise	在敌人附近制造噪音	no	no	no	
enemy.control-writes-replication	ForgeEnemy\evidence\enemy-control-actions.json $.unverified[0]	主机侧任意时刻写行为状态（EnemySync.IncomingState）、休眠状态（pES_HibernateState / pES_HibernateWakeup）与路径数据（pEnemyPathData）时，是否在同一帧产生与游戏自身更新相同的包	enemy-behaviour	trace:enemy/Enemies.EnemySync.IncomingState;trace:enemy/Enemies.EnemySync.IncomingExtraState;trace:enemy/Enemies.EnemySync.IncomingPath;net:SNetwork.SNet_Packet	主机对敌人执行 sleep/awaken/move_to	yes	no	no	与 enemy.ai-goal-locomotion 合并
enemy.ai-goal-locomotion	ForgeEnemy\evidence\enemy-control-actions.json $.conclusions[2].unverified	只设 AI 目标是否对所有敌人类型都足够（flyer 走 EB_InCombatFlyer 路径）；AI 自身移动行为也驱动 locomotion 与 course navigation	enemy-behaviour	trace:enemy/Enemies.EnemyAI.SetTarget;state:enemies	主机下 move_to 命令并观察	no	no	no	与 enemy.control-writes-replication 合并
enemy.hibernate-locomotion-coupling	ForgeEnemy\evidence\enemy-control-actions.json $.conclusions[1].unverified	休眠行为是否在同一帧把 locomotion 机器拉进 ES_Hibernate（ES_HibernateWakeUp.Exit 显示游戏是行为状态跟着 locomotion 走）	enemy-behaviour	trace:enemy/Enemies.EnemyBehaviour.ChangeState;state:enemies	唤醒/休眠一只敌人	no	no	no	
enemy.profile-phase-other-logic	ForgeEnemy\evidence\enemy-profile-actions.json $.capabilities[4].evidence.unproven	除已写的消费者外，是否还有别的游戏逻辑响应 phase 变化；reset_policy: reset 被拒绝的原因	enemy-behaviour	trace:enemy/Enemies.EnemyBehaviour.SignalEvent;trace:enemy/Enemies.EnemyBehaviour.ChangeState	改变敌人 phase	no	no	no	
enemy.wave-group-mapping	ForgeEnemy\evidence\enemy-wave-facts.json $.unproven	Mastermind.AddEvent 是否唯一调用 OnSpawn 注册路径、EventID 是否在 OnSpawn 内赋值；EnemyGroup.Members 在 SpawnGroup 返回时是否已填满；RegisterGroup 的 isRecall 标志	enemy-wave	trace:damage/Mastermind.AddEvent;trace:damage/Mastermind.SpawnGroup;trace:damage/SurvivalWave.RegisterGroup;trace:damage/SurvivalWave.RegisterCost;state:enemies	触发一波波次并读回分组	no	no	no	与 enemy.wave-mastermind-singleton 合并
enemy.wave-mastermind-singleton	ForgeMap\evidence\encounter-wave-hooks.json $.unproven	Mastermind 单例在运行时是否真按推断运行；一波到批次的映射（m_isNewWave / m_waveSpawnTimer / m_groupSpawnTimer / RegisterCost）；m_populationPointsSpentDuringWave 与 m_populationPointsPerWaveMax 的语义；StopEvent 是否覆盖所有拆解路径	enemy-wave	trace:damage/SurvivalWave.StartWave;trace:damage/SurvivalWave.RegisterCost;trace:damage/SurvivalWave.StopEvent;trace:damage/SurvivalWave.TryEndEvent	打一波遭遇战到结束	no	no	no	与 enemy.wave-group-mapping 合并
enemy.active-wave-door-link	ForgeMap\evidence\encounter-wave-hooks.json $.unproven	门内活动敌人波（ActiveEnemyWaveData）与门的绑定；alarm 波是否在每条作者入口都注册到目标管理器	enemy-wave	trace:door-terminal/LevelGeneration.LG_SecurityDoor.SetupActiveEnemyWaveData;trace:damage/SurvivalWave.StartWave;state:waves	触发门警报波	no	no	no	
enemy.scored-spawn-failure	ForgeMap\evidence\encounter-wave-hooks.json $.unproven	GetScoredSpawnPoint 返回出生点但 Mastermind.SpawnGroup 返回 void，原生出生失败无法观测，只能数注册组	enemy-wave	trace:damage/Mastermind.SpawnGroup;trace:damage/SurvivalWave.GetScoredSpawnPoint;state:enemies	在拥挤空间触发波次	no	no	no	
door.alarm-master-activation	ForgeMap\evidence\door-actions.json $.unproven	门警报 MasterActivate 是否真的起波、MasterDeactivate 是否停掉进行中的波（调用边显示调 TriggerEnemyWave；无会话观测）	door-alarm	trace:level/ChainedPuzzles.ChainedPuzzleInstance.MasterActivate;trace:level/ChainedPuzzles.ChainedPuzzleInstance.MasterDeactivate;trace:level/ChainedPuzzles.ChainedPuzzleInstance.TriggerEnemyWave;state:waves	触发门警报再解除	no	no	no	
door.alarm-active-peer	ForgeMap\evidence\door-actions.json $.unproven	真实会话里由哪个 peer 跑 MasterActivate（实例是状态复制器提供者，catalog 说 host，但未观测复制）	door-alarm	trace:level/ChainedPuzzles.ChainedPuzzleInstance.MasterActivate;net:SNetwork.SNet_ReplicationManager	主机与客机各触发一次门警报	yes	no	no	
door.has-alarm-flag	ForgeMap\evidence\door-actions.json $.unproven	m_hasAlarm 是否对每个作者定义的门警报为真、对每个扫描门为假	door-alarm	state:doors.*.m_hasAlarm; state:datablocks	读一关所有门的 m_hasAlarm	no	no	yes	
door.interaction-race	ForgeMap\evidence\door-actions.json $.unproven	AttemptOpenCloseInteraction 的 toggle 是否会被第二个请求在本层状态读取与调用之间抢占	door-behaviour	trace:door-terminal/LevelGeneration.LG_SecurityDoor.AttemptOpenCloseInteraction;trace:door-terminal/LevelGeneration.LG_SecurityDoor.OnSyncDoorStatusChange	两人同时按同一扇门	yes	no	no	
door.security-damage-empty-body	ForgeMap\evidence\door-actions.json $.unproven	LG_SecurityDoor.AttemptDamage 的空体是构建产物还是有意 no-op（地址与 2102 个 dump 条目共享）	door-behaviour	trace:door-terminal/LevelGeneration.LG_SecurityDoor.AttemptDamage;state:doors	对安全门开火	no	no	no	
door.puzzle2-unlock-callers	ForgeMap\evidence\door-actions.json $.unproven	Localization.Localization 与 PuzzleType=2 解锁的调用点；门在 OnSyncStatusChanged→Powered 后是否触发区域 EventsOnUnlockDoor	door-behaviour	trace:objects/LevelGeneration.LG_PowerGenerator_Core.SyncStatusChanged;state:doors.status	插满电池	no	no	yes	与 generator.puzzle2-unlock-events 合并
terminal.command-replication	ForgeMap\evidence\terminal-object-actions.json $.unproven	打印的行在没调用 AddLine 的机器上是否显示（是否重放同一条复制命令流）	terminal	trace:door-terminal/LevelGeneration.LG_ComputerTerminal.AddLine;trace:door-terminal/LevelGeneration.LG_ComputerTerminal.SyncIncomingTerminalCommand;state:terminals	在终端执行会打印的命令	yes	yes	no	与 terminal.addline-third-arg 合并
terminal.addline-third-arg	ForgeMap\evidence\terminal-object-actions.json $.unproven	原生 AddLine 第三个参数非零时到底让什么过期	terminal	trace:door-terminal/LevelGeneration.LG_ComputerTerminal.AddLine;trace:door-terminal/LevelGeneration.LG_ComputerTerminal.GetLocalLogs	连续打印带过期参数的行	no	no	no	与 terminal.command-replication 合并
terminal.want-command-authority	ForgeMap\evidence\terminal-object-actions.json $.unproven	LG_ComputerTerminalManager.WantToSendTerminalCommand 是否接受非交互玩家的主机调用者（发送者校验在 il2cpp 内）	terminal	trace:door-terminal/LevelGeneration.LG_ComputerTerminalManager.WantToSendTerminalCommand	主机代客机发一条终端命令	yes	no	no	
terminal.trygetcommand-params	ForgeMap\evidence\terminal-object-actions.json $.unproven	解释器 TryGetCommand 是否按玩家手打行为填 param1/param2（白名单里每条命令）	terminal	trace:door-terminal/LevelGeneration.LG_TERM_PlayerInteracting.ParseInput;trace:door-terminal/LevelGeneration.LG_TERM_PlayerInteracting.OnRegularInput;trace:door-terminal/LevelGeneration.LG_TERM_PlayerInteracting.OnReturn	逐条手打白名单命令	no	no	no	与 terminal.command-interpreter-input 合并
terminal.command-interpreter-input	ForgeMap\VALIDATION.md#22	命令解释器、登录、日志三块在实机的行为（door-terminal-hooks 的 inGameVerificationPlan Hit confirmation 1/2）	terminal	trace:door-terminal/LevelGeneration.LG_TERM_PlayerInteracting;trace:door-terminal/LevelGeneration.LG_ComputerTerminalManager;state:terminals	登录密码终端、执行命令、读日志	no	yes	yes	与 terminal.trygetcommand-params 合并
terminal.bullet-parent-chain	ForgeMap\evidence\door-terminal-hooks.json $.unproven	子弹碰撞体是否真的挂在门/终端之下（门刀换父、终端屏幕碰撞体的层级与 GetComponentInParent 返回顺序）；LG_DoorBladeCuller 是否会在运行期改变父级	terminal	trace:objects/PlayerInteraction.*; probe; state:doors.*.hierarchy	对门与终端屏幕开火	no	no	no	
zone.entrance-gate-addressing	ForgeMap\evidence\door-terminal-hooks.json $.unproven	LG_Zone.m_sourceGate 是否是玩家进入该区域的闸门、起始区域是否没有；区域的入口闸是否总是 LG_SecurityDoor	zone-identity	state:zones.*.m_sourceGate+doors.*.alias; trace:level/LevelGeneration.LG_Zone.*	逐区读入口闸与别名	no	no	yes	
zone.terminals-order	ForgeMap\evidence\door-terminal-hooks.json $.unproven	LG_Zone.TerminalsSpawnedInZone 的顺序是否与 TerminalPlacements 一致（反应堆/任务/特定终端不在 placement 里时会打乱索引）	zone-identity	state:zones.*.terminals（按索引）+datablocks.terminalPlacements	读一关所有区域的终端顺序	no	no	yes	
zone.zones-populated-timing	ForgeMap\evidence\door-terminal-hooks.json $.unproven	第一个 Hook 运行时 LG_LevelBuilder.Current.m_currentFloor.allZones 是否已填好（决定早读的门/终端能否寻址）	zone-identity	trace:level/LevelGeneration.LG_Factory.FactoryDone;trace:level/LevelGeneration.LG_Floor.Setup;state:zones	进关时读区域表填充时点	no	no	no	
zone.weak-entrance-ratio	ForgeMap\VALIDATION.md#49	弱门与区域入口闸是弱门时的实际比例	zone-identity	state:doors.*.type（按区域入口筛选）	读一关所有区域入口门类型	no	no	yes	
player.bot-lookup-stability	ForgeMap\VALIDATION.md#353	bot Lookup 跨重生稳定性；postfix 时刻 PlayerAgentsInLevel 成员是否已更新；UnregisterPlayerAgent 与 OnPlayerDespawned 的运行时顺序	player-life	trace:player/Player.PlayerAgent.OnDespawn;state:players	带 bot 开局并让 bot 反复重生	no	no	no	
